2012-06-08 14:09:57 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:13:58 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:16:18 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:18:10 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:20:57 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:22:22 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:24:27 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:28:13 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:30:35 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:32:40 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:35:11 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:36:52 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:38:44 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:42:33 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:45:05 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:46:57 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:49:27 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:51:09 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:53:14 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:55:49 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
2012-06-08 14:57:28 - [id=0] STATUS: Downloaded 52 bytes of new media content, 0/2 files
